# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 85K of event 'cpu/cycles/P'
# Event count (approx.): 91525685776
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
     0.00%  test_gprof  [kernel.kallsyms]  [k] rcu_core
     0.00%  test_gprof  [kernel.kallsyms]  [k] __schedule
     0.00%  test_gprof  [kernel.kallsyms]  [k] _find_first_bit
     0.00%  test_gprof  [kernel.kallsyms]  [k] enqueue_task_rt
     0.00%  test_gprof  [kernel.kallsyms]  [k] mksaveddirty_shift
     0.00%  test_gprof  [kernel.kallsyms]  [k] zap_pmd_range.isra.0
     0.00%  test_gprof  [kernel.kallsyms]  [k] kfree
     0.00%  test_gprof  [kernel.kallsyms]  [k] perf_event_mmap_output
     0.00%  perf-exec   [kernel.kallsyms]  [k] perf_event_exec
     0.00%  test_gprof  [kernel.kallsyms]  [k] perf_pmu_nop_void
     0.00%  test_gprof  [kernel.kallsyms]  [k] nmi_restore
     0.00%  test_gprof  [kernel.kallsyms]  [k] end_repeat_nmi
     0.00%  test_gprof  [kernel.kallsyms]  [k] default_do_nmi
     0.00%  perf-exec   [kernel.kallsyms]  [k] srso_safe_ret
     0.00%  test_gprof  [kernel.kallsyms]  [k] native_write_msr
     0.00%  perf-exec   [kernel.kallsyms]  [k] perf_event_update_userpage
     0.00%  perf-exec   [kernel.kallsyms]  [k] srso_return_thunk


#
# (Cannot load tips.txt file, please install perf!)
#
